network_traffic_volume,number_of_logins,number_of_failed_logins,number_of_accessed_files,number_of_email_sent,cpu_usage,memory_usage,disk_io,network_latency,number_of_processes,label
109.93428306022466,4,2,16,0,45.262159587962785,59.59606260048342,208.22147615645628,8.821641900604707,58,0
97.2347139765763,7,0,12,4,37.675090818172976,56.78744684154024,291.03986728404294,8.240652373170727,51,0
112.95377076201385,7,2,10,7,44.78513878573543,61.30401663739721,347.9748038299721,11.102566665551175,56,0
130.46059712816052,2,0,8,2,19.53380891906498,19.641025835255835,281.74724835975144,7.999722157520086,49,0
95.31693250553329,5,0,12,4,33.17362633255361,26.69815799505102,226.26107293808025,12.166784287166704,55,0
95.3172608610164,6,1,10,4,31.55246052058279,65.07243724224855,291.7742734101915,12.645946616691086,50,0
131.58425631014782,5,1,7,0,33.510912916767346,27.42081235757839,257.1413813054147,8.241967462099097,54,0
115.34869458305818,2,0,7,5,43.762319706355726,56.02307953578808,324.5907200543981,9.628902930814293,51,0
90.61051228130096,7,3,13,7,27.792108502079458,44.719255159515626,338.6699908033806,10.033241962724828,65,0
110.8512008717193,9,0,7,1,25.944966334459124,35.057161316060046,247.1864796125947,11.767966320939335,44,0
90.73164614375075,6,1,13,2,35.33980797418664,55.2447463572121,264.7097972442175,13.218686751219753,62,0
90.68540492859486,5,1,9,3,12.217972724341525,53.01550255574856,337.8321232553469,6.629015214262845,48,1
104.83924543132068,6,1,12,1,27.631479508778217,81.65513978144565,257.05778608505204,9.363638564946633,34,0
61.73439510684404,5,1,13,2,28.65802310714547,40.627831931961666,245.89209320860024,9.467966608879307,53,0
65.50164334973934,5,1,8,2,20.796413836930746,71.6016518010376,241.06544341018727,7.198660290226904,53,1
88.75424941518054,5,1,6,1,40.57059011356577,55.286343715764716,317.60193064790604,9.029779961391878,47,0
79.74337759331152,4,2,8,7,19.377596826567157,40.08467177685932,315.4578859758732,10.855537888701223,37,0
106.28494665190547,8,1,12,0,28.641269516362037,61.98869686275868,265.7976984810479,9.442642194320886,57,0
81.83951848957578,4,2,12,8,32.93157225322968,58.48607756680927,300.2542698064117,6.910757662785173,57,0
71.75392597329417,5,0,8,3,43.53451561476118,50.537649422870736,376.3566192077565,15.748165396019827,55,0
129.31297537843108,3,0,12,3,29.89443565119147,53.99443034660935,251.2969921540889,10.53235573040836,43,0
95.4844739902693,7,1,11,0,39.361535941282106,41.04519453431703,202.41286954947753,10.22338826021335,57,0
101.35056409375848,2,1,9,3,37.00595397277127,37.6131931211824,322.75377878601853,7.804147273865907,46,0
71.50503627573087,5,1,10,1,31.234575561691425,61.39163260733874,294.4799418049206,10.52141232394255,59,0
89.11234550949635,10,1,10,3,19.104865917265446,46.64090863530089,264.49874565924495,9.671572431917012,65,0
102.21845179419732,7,1,16,1,15.65419139095651,48.79875502626361,332.6040118677454,6.222953174569188,63,0
76.98012845155395,7,0,8,1,31.065054014191865,54.19732393916416,341.9612572334395,7.859489119971167,55,0
107.51396036691344,10,0,14,5,24.573031260973863,53.979325171757125,189.58609900599538,11.58985203534789,53,0
87.9872262016239,1,1,12,4,39.19261091681292,28.56010293538903,267.3701045334256,13.888035300000883,45,0
94.16612500413447,5,1,7,9,37.45856518098577,69.29378129682289,415.87581155984276,10.734330810086089,45,0
87.96586775541206,3,3,6,2,28.153890055629503,51.81773227851018,329.17024578990953,12.206166556586734,62,0
137.04556369017877,8,0,8,2,18.42287076058731,46.96020105766776,333.8051819148575,9.68848938283358,41,0
99.73005550524132,7,0,12,2,35.107355496072735,56.4626900775462,358.6447139315739,9.826907678638793,62,0
78.84578142088199,3,0,10,2,19.820505538648497,53.548132904222946,300.8534412599863,12.18195805523893,58,0
116.45089824206377,1,1,13,4,22.41536077069135,61.50594034234553,339.834208004581,13.325554578358938,54,0
75.58312700057955,5,2,11,1,20.205842617848454,58.069755082264116,335.9031021918601,12.602193386931244,54,0
104.1772719000951,3,1,11,2,28.614989780600467,60.767693434944,326.95207483763795,7.8672738492303615,56,0
60.80659752240449,6,0,13,2,41.70192334070562,70.26490858591274,283.89940146912977,9.866082219369508,49,0
73.43627902203139,3,1,8,3,29.949591297764712,63.25436823456458,308.60294611831296,10.55504936895259,58,0
103.93722471738246,4,2,9,1,25.567813075723045,47.59270669507156,270.58192178466106,9.480644072984942,49,0
114.76933159990821,5,0,9,1,14.743850699547558,33.15648265884751,300.6407152283247,10.775715086831191,56,0
103.4273656237994,8,1,8,5,35.52124584729843,75.01696899506773,241.57545539503667,11.641153623337894,56,0
97.68703435223519,7,0,12,4,22.195953940713725,46.43414939979331,260.46880043635235,12.005619503910282,43,1
93.97792608821422,5,3,11,7,31.175176191580967,42.903388799592165,285.88439790375355,13.371740304443046,65,1
70.42956019265145,4,2,5,1,26.457813840833595,23.94909773353341,252.8147284284962,9.341117790550332,33,0
85.60311583210583,6,2,14,2,38.38177219599437,55.07709657968167,274.74913646274115,7.271933670321372,53,0
90.78722458080425,8,1,14,5,28.42763607971448,52.23329905930655,291.80370116222423,10.716469188028906,58,0
121.1424445243783,4,1,10,4,29.410736454769484,27.27327595625779,320.1131172332189,13.767622062369604,43,0
106.87236579136923,3,3,9,5,34.85747147455459,56.799110631997635,347.4628650926455,9.046048280091881,53,0
64.73919689274533,2,1,8,4,51.06940182263186,42.527121189478414,276.8107814310946,11.37369395412744,47,0
106.4816793878959,3,0,10,3,38.88446930358555,90.3547251093304,366.75523086343117,11.391491584945285,50,0
92.29835439167367,9,1,13,4,29.113938936513907,41.45958211863697,346.9305539312747,10.382884094689217,58,0
86.46155999388083,5,1,13,6,30.031979906152884,43.4721000170331,325.2046915971971,10.013849442087428,48,0
112.23352577681736,4,1,4,4,24.751405396755654,36.878356636184485,307.6824564648309,8.153141588557215,45,0
120.61999044991902,7,3,12,6,20.50004296480305,69.16814781562958,315.9560420934271,5.436675855158845,46,0
118.62560238232398,8,0,14,2,24.47249212933678,44.4083630830287,359.3525575333191,7.776298586671942,44,0
83.21564953554723,4,1,11,4,22.278510362880574,39.12628769351755,361.17898298796365,9.219391701776601,45,0
93.81575248297571,4,1,10,0,36.533683837958854,60.60432514880814,366.74733641918215,12.194845374845414,50,0
